자전거번호,대여일시,대여 대여소번호,대여 대여소명,대여거치대,반납일시,반납대여소번호,반납대여소명,반납거치대,이용시간(분),이용거리(M),생년,성별,이용자종류,대여대여소ID,반납대여소ID,자전거구분
SPB-59143,2024-06-30 23:10:28,1653,노원역1번출구,0,2024-06-30 23:21:06,01667,중계중학교,0,10,1560.0,2005,\N,내국인,ST-1121,ST-1284,일반자전거
SPB-35386,2024-06-30 23:17:37,4484,잠실나루역4번출구뒤,0,2024-06-30 23:21:06,04484,잠실나루역4번출구뒤,0,3,98.24,1995,\N,내국인,ST-2594,ST-2594,일반자전거
SPB-56664,2024-06-30 23:16:00,765,오목교역 3번출구,0,2024-06-30 23:21:06,00781,신정보도육교 아래,0,5,870.0,2005,F,내국인,ST-1731,ST-2007,일반자전거
SPB-36567,2024-06-30 23:16:17,4616,신용산지하차도 앞,0,2024-06-30 23:21:08,04604,원효로다목적체육관 앞,0,4,612.22,1982,M,내국인,ST-2447,ST-2437,일반자전거
SPB-44340,2024-06-30 23:11:08,1044,굽은다리역,0,2024-06-30 23:21:08,01074,대명초교입구 사거리,0,10,800.78,1994,\N,내국인,ST-1061,ST-1835,일반자전거
SPB-57002,2024-06-30 23:03:49,2186,낙성대입구삼거리,0,2024-06-30 23:21:08,02186,낙성대입구삼거리,0,17,1670.0,1995,M,내국인,ST-2370,ST-2370,일반자전거
SPB-58938,2024-06-30 22:34:10,4594,양평교 영등포대여소,0,2024-06-30 23:21:09,00278,쌍용플레티넘오피스텔,0,46,9225.52,\N,F,내국인,ST-2920,ST-1323,일반자전거
SPB-48871,2024-06-30 23:13:40,1637,KT 전화국 버스정류장 옆,0,2024-06-30 23:21:11,04013,중계 롯데마트,0,7,1360.0,1998,F,내국인,ST-611,ST-2706,일반자전거
SPB-50109,2024-06-30 23:16:16,1085,래미안 솔베뉴(고덕로),0,2024-06-30 23:21:12,01051,"강일중,선사고 버스정류장(신암중학교 방면)",0,4,768.94,1989,M,내국인,ST-1845,ST-1421,일반자전거
SPB-46219,2024-06-30 22:33:01,2301,현대고등학교 건너편,0,2024-06-30 23:21:13,02301,현대고등학교 건너편,0,48,7120.0,1996,\N,내국인,ST-777,ST-777,일반자전거
SPB-64013,2024-06-30 22:56:15,731,서울시 도로환경관리센터,0,2024-06-30 23:21:13,04522,신곡시장,0,24,4110.0,1993,\N,내국인,ST-1002,ST-2771,일반자전거
