자전거번호,대여일시,대여 대여소번호,대여 대여소명,대여거치대,반납일시,반납대여소번호,반납대여소명,반납거치대,이용시간(분),이용거리(M),생년,성별,이용자종류,대여대여소ID,반납대여소ID,자전거구분
SPB-46173,2024-06-30 23:30:59,129,신촌역(2호선) 6번출구 옆,0,2024-06-30 23:32:46,00150,서강대역 2번출구 앞,0,1,0.0,1976,M,내국인,ST-31,ST-207,일반자전거
SPB-30828,2024-06-30 23:14:21,1608,공릉역 1번 출구 앞,0,2024-06-30 23:32:48,02908,광운대학교 중앙도서관,0,18,2881.94,2002,F,내국인,ST-735,ST-2074,일반자전거
SPB-44228,2024-06-30 23:17:11,4911,도곡동 골프 로데오거리,0,2024-06-30 23:32:49,02335,3호선 매봉역 3번출구앞,0,15,950.92,1997,F,내국인,ST-3109,ST-818,일반자전거
SPB-48396,2024-06-30 22:46:14,3542,래미안 구의파크 스위트,0,2024-06-30 23:32:49,03542,래미안 구의파크 스위트,0,46,1930.0,\N,F,내국인,ST-1722,ST-1722,일반자전거
SPB-56480,2024-06-30 23:25:55,1266,문정동 글샘 공원,0,2024-06-30 23:32:50,02628,문정역 1번출구,0,6,1294.78,1992,M,내국인,ST-1085,ST-1855,일반자전거
SPB-51355,2024-06-30 23:23:31,1758,솔밭공원역 1번출구 주변,0,2024-06-30 23:32:50,01568,419민주묘지 입구사거리,0,9,1042.12,1975,M,내국인,ST-2103,ST-2136,일반자전거
SPB-57080,2024-06-30 23:09:29,549,아차산역 3번출구,0,2024-06-30 23:32:51,05759,풍납근린공원,0,23,3220.0,2005,M,내국인,ST-259,ST-3141,일반자전거
SPB-42239,2024-06-30 23:30:15,5074,"마곡엠밸리14단지 버스정류장(마곡엠밸리11,12단지상가방면)",0,2024-06-30 23:32:51,02733,마곡13단지 정문 앞,0,2,375.02,2007,M,내국인,ST-2993,ST-2050,일반자전거
SPB-52458,2024-06-30 23:15:45,780,신정교 하부,0,2024-06-30 23:32:51,01925,동양미래대학교 정문 옆,0,17,2330.0,1962,F,내국인,ST-2006,ST-919,일반자전거
SPB-70232,2024-06-30 22:55:30,2062,사당새마을금고,0,2024-06-30 23:32:51,02032,이수역 11번출구쪽,0,37,5230.0,1990,\N,내국인,ST-1154,ST-923,일반자전거
SPB-68745,2024-06-30 23:20:07,2381,언주역 6번출구앞,0,2024-06-30 23:32:53,02505,우성아파트사거리 (기업은행앞),0,12,2070.0,1995,M,내국인,ST-1246,ST-1556,일반자전거
SPB-67058,2024-06-30 22:32:09,726,목동3단지 시내버스정류장,0,2024-06-30 23:32:54,00726,목동3단지 시내버스정류장,0,60,9672.23,1999,\N,내국인,ST-997,ST-997,일반자전거
SPB-49340,2024-06-30 22:34:45,726,목동3단지 시내버스정류장,0,2024-06-30 23:32:54,00726,목동3단지 시내버스정류장,0,58,9924.68,2001,\N,내국인,ST-997,ST-997,일반자전거
SPB-56457,2024-06-30 23:00:39,511,서울숲역 5번 출구 옆,0,2024-06-30 23:32:55,04110,용두롯데캐슬리치아파트 앞,0,32,4290.0,1999,M,내국인,ST-108,ST-2502,일반자전거
SPB-70039,2024-06-30 23:31:38,4016,노원 마들스타디움,0,2024-06-30 23:32:55,04090,녹천교 앞 사거리,0,1,0.0,1989,M,내국인,ST-2754,ST-3175,일반자전거
SPB-55560,2024-06-30 23:23:32,2715,마곡나루역 2번 출구,0,2024-06-30 23:32:57,01184,마곡13단지,0,9,1823.76,1995,M,내국인,ST-2031,ST-1645,일반자전거
SPB-56843,2024-06-30 23:25:01,2639,석촌역 8번출구,0,2024-06-30 23:32:57,01231,잠실역 6번출구,0,7,1160.0,1996,\N,내국인,ST-1866,ST-840,일반자전거
SPB-46175,2024-06-30 22:45:56,4027,한내 행복발전소 옆,0,2024-06-30 23:32:58,01661,당현천근린공원,\N,45,2490.68,2000,F,내국인,ST-2791,ST-1278,일반자전거
SPB-65370,2024-06-30 22:43:05,258,신길역3번출구,0,2024-06-30 23:32:58,04592,신길우성4차아파트,0,49,1023.77,2007,M,내국인,ST-306,ST-2902,일반자전거
SPB-37631,2024-06-30 23:07:58,1297,석촌호수교차로(동호 팔각정 앞),0,2024-06-30 23:32:58,03881,신자초교입구 교차로,0,25,3838.91,2003,M,내국인,ST-1586,ST-2865,일반자전거
SPB-51196,2024-06-30 23:00:31,147,마포역 4번출구 뒤,0,2024-06-30 23:32:59,00131,증산2교,0,32,9836.91,1973,F,내국인,ST-205,ST-33,일반자전거
SPB-66868,2024-06-30 22:57:19,502,자양(뚝섬한강공원)역 1번출구 앞,0,2024-06-30 23:33:01,00583,청계천 생태교실 앞,0,35,7983.3,2005,M,내국인,ST-99,ST-376,일반자전거
SPB-66684,2024-06-30 23:25:44,5753,호반써밋,0,2024-06-30 23:33:01,04855,거여5단지 503동 앞,0,7,60.0,2001,\N,내국인,ST-3071,ST-2607,일반자전거
SPB-30018,2024-06-30 23:28:40,3919,구로역·NC신구로점 버스정류장(구로역 방면),0,2024-06-30 23:33:02,01958,강서수도사업소민원센터,0,4,894.7,1996,M,내국인,ST-3013,ST-1220,일반자전거
SPB-70389,2024-06-30 22:30:10,1072,고덕역 5번출구,0,2024-06-30 23:33:03,01044,굽은다리역,0,62,2124.2,1967,M,내국인,ST-1833,ST-1061,일반자전거
SPB-66065,2024-06-30 23:30:22,2058,동작경찰서,0,2024-06-30 23:33:03,02050,노량진역 5번출구,0,2,320.0,1996,M,내국인,ST-1150,ST-699,일반자전거
SPB-52463,2024-06-30 23:00:28,4852,서울복합물류 게이트 1,0,2024-06-30 23:33:03,02623,석촌동 주민센터,0,32,4417.03,\N,\N,내국인,ST-2605,ST-1851,일반자전거
SPB-69395,2024-06-30 23:24:09,589,성수역3번출구,0,2024-06-30 23:33:04,03534,건대입구역 5번출구 뒤,0,8,1190.0,1998,F,내국인,ST-506,ST-1661,일반자전거
SPB-69064,2024-06-30 22:57:34,2634,위례포레샤인아파트 2318동,0,2024-06-30 23:33:05,01221,삼전역 4번출구,0,35,7191.58,1987,M,내국인,ST-1861,ST-933,일반자전거
SPB-45860,2024-06-30 23:27:40,1991,오류동역 맞은편,0,2024-06-30 23:33:05,01930,개봉지구대 개봉치안센터,0,5,770.0,1996,M,내국인,ST-1526,ST-677,일반자전거
SPB-42170,2024-06-30 23:06:37,792,목동트라팰리스 웨스턴에비뉴,0,2024-06-30 23:33:07,00780,신정교 하부,0,26,2627.59,1998,\N,내국인,ST-2017,ST-2006,일반자전거
SPB-43148,2024-06-30 23:31:18,726,목동3단지 시내버스정류장,0,2024-06-30 23:33:08,00735,영도초등학교,0,1,0.0,2003,M,내국인,ST-997,ST-1006,일반자전거
SPB-32295,2024-06-30 23:06:13,3725,강북 청소년 문화정보도서관 앞,0,2024-06-30 23:33:08,01395,래미안장위포레카운티(102동),0,26,2693.03,1994,M,내국인,ST-3193,ST-2236,일반자전거
SPB-30875,2024-06-30 23:29:44,243,이앤씨드림타워 앞,0,2024-06-30 23:33:11,00232,양평우림 이비즈센타 앞,0,3,0.1,1975,M,내국인,ST-292,ST-281,일반자전거
SPB-53559,2024-06-30 23:02:41,2170,조원동 강남힐병원,0,2024-06-30 23:33:12,02170,조원동 강남힐병원,0,30,3395.04,1977,F,내국인,ST-1265,ST-1265,일반자전거
SPB-60664,2024-06-30 21:47:35,1012,천호역효성해링턴타워 앞,0,2024-06-30 23:33:14,01012,천호역효성해링턴타워 앞,0,105,6890.0,1994,M,내국인,ST-496,ST-496,일반자전거
SPB-56562,2024-06-30 22:54:05,2704,홈플러스(강서점),0,2024-06-30 23:33:15,01158,가양역 8번출구,0,39,7060.0,1994,F,내국인,ST-2020,ST-1249,일반자전거
SPB-53575,2024-06-30 23:27:06,1991,오류동역 맞은편,0,2024-06-30 23:33:15,01930,개봉지구대 개봉치안센터,0,6,790.0,1997,M,내국인,ST-1526,ST-677,일반자전거
SPB-62672,2024-06-30 23:28:29,4578,보라매sk뷰,0,2024-06-30 23:33:16,03220,래미안에스티움 앞 (신풍로),0,4,930.0,1994,M,내국인,ST-2801,ST-1991,일반자전거
SPB-65118,2024-06-30 23:14:40,4496,잠실 파크리오 120동 앞,0,2024-06-30 23:33:18,05756,극동아파트,0,18,1850.0,2006,M,내국인,ST-2601,ST-3131,일반자전거
SPB-67685,2024-06-30 23:05:09,792,목동트라팰리스 웨스턴에비뉴,0,2024-06-30 23:33:19,00780,신정교 하부,0,28,2329.96,1970,\N,내국인,ST-2017,ST-2006,일반자전거
SPB-62224,2024-06-30 22:35:10,2646,레이크펠리스101동앞,0,2024-06-30 23:33:21,02646,레이크펠리스101동앞,0,58,1380.0,1994,\N,내국인,ST-1867,ST-1867,일반자전거
SPB-61878,2024-06-30 22:25:03,207,여의나루역 1번출구 앞,0,2024-06-30 23:33:21,03764,관문주유소(GS칼택스) 앞,0,68,14082.84,1999,\N,내국인,ST-73,ST-2613,일반자전거
SPB-41359,2024-06-30 23:22:47,4836,양원역 1번 출구,0,2024-06-30 23:33:21,04830,신내 우디안 111동 앞,0,10,1863.31,2005,M,내국인,ST-3023,ST-3036,일반자전거
SPB-33425,2024-06-30 23:27:36,500,어린이대공원역 3번출구 앞,0,2024-06-30 23:33:21,00501,광진구의회 앞,0,5,1076.6,1977,M,내국인,ST-97,ST-98,일반자전거
SPB-47347,2024-06-30 23:28:24,224,롯데캐슬 앞,0,2024-06-30 23:33:21,00221,여의도초교 앞,0,4,616.33,1973,M,내국인,ST-70,ST-67,일반자전거
SPB-43967,2024-06-30 23:31:33,4220,신촌 청년주택,0,2024-06-30 23:33:22,04206,광흥창역5번출구,0,1,111.2,2001,\N,내국인,ST-2975,ST-2530,일반자전거
SPB-40401,2024-06-30 23:01:02,1912,한신휴아파트 앞,0,2024-06-30 23:33:23,01820,신한은행 시흥대로금융센터지점,0,32,5800.51,2003,F,내국인,ST-669,ST-628,일반자전거
SPB-54557,2024-06-30 23:22:19,2632,석촌고분역 2번 출구,0,2024-06-30 23:33:24,04874,탄천1교 하부보도,0,11,1565.51,1993,M,내국인,ST-1859,ST-2916,일반자전거
SPB-66211,2024-06-30 23:28:57,4041,공릉역3번출구,0,2024-06-30 23:33:26,01641,한내근린공원 남측,0,4,631.03,1998,\N,내국인,ST-2896,ST-970,일반자전거
SPB-50599,2024-06-30 23:12:20,2102,봉림교 교통섬,0,2024-06-30 23:33:28,01870,독산3동주민센터 앞,0,21,2580.0,1996,M,내국인,ST-702,ST-1941,일반자전거
SPB-67620,2024-06-30 22:52:50,1503,강북구청사거리(수유역 8번출구),0,2024-06-30 23:33:28,01735,"도봉역 1,2번 출구사이 건너편",0,40,4956.3,1993,\N,내국인,ST-643,ST-1467,일반자전거
SPB-67126,2024-06-30 23:22:19,2632,석촌고분역 2번 출구,0,2024-06-30 23:33:28,04874,탄천1교 하부보도,0,11,1590.0,1990,F,내국인,ST-1859,ST-2916,일반자전거
SPB-30870,2024-06-30 23:23:37,4836,양원역 1번 출구,0,2024-06-30 23:33:29,04830,신내 우디안 111동 앞,0,9,1813.12,2005,M,내국인,ST-3023,ST-3036,일반자전거
SPB-51677,2024-06-30 23:29:02,5080,가양역 1번출구,0,2024-06-30 23:33:29,05065,허준박물관삼거리,0,4,566.63,1991,M,내국인,ST-3084,ST-2944,일반자전거
SPB-64334,2024-06-30 23:25:03,626,군자교 서측 녹지대,0,2024-06-30 23:33:30,03549,건영아파트 앞,0,8,1000.0,1989,M,내국인,ST-394,ST-2331,일반자전거
SPB-35604,2024-06-30 23:27:44,1738,창동주공17단지 상가앞,0,2024-06-30 23:33:30,04080,창동주공19단지앞,0,5,690.6,1994,M,내국인,ST-1470,ST-2967,일반자전거
SPB-44202,2024-06-30 23:11:41,2511,이수역 6번출구 앞,0,2024-06-30 23:33:31,04332,이수교차로,0,21,4094.35,1994,\N,내국인,ST-1739,ST-3086,일반자전거
SPB-40243,2024-06-30 23:31:28,1564,419민주묘지역 1번출구,0,2024-06-30 23:33:31,01715,서울특별시교육청도봉도서관,0,2,0.0,2009,M,내국인,ST-2133,ST-1131,일반자전거
SPB-67173,2024-06-30 23:21:02,4179,보라매병원역 1번출구,0,2024-06-30 23:33:33,02085,강남중학교 앞,0,12,1590.0,2000,M,내국인,ST-3105,ST-2358,일반자전거
SPB-59031,2024-06-30 23:30:01,3513,상왕십리역 1번출구,0,2024-06-30 23:33:35,04122,청계9가교차로 앞,0,3,700.0,1999,\N,내국인,ST-1197,ST-2508,일반자전거
SPB-59222,2024-06-30 23:05:27,1663,동해문화예술관앞,0,2024-06-30 23:33:35,01501,"미아역 3번,4번 출구 사이",0,28,4828.27,\N,\N,내국인,ST-1280,ST-948,일반자전거
SPB-52200,2024-06-30 23:27:24,3675,강동리버스트8단지,0,2024-06-30 23:33:35,01021,강일동 리슈빌 빌딩앞,0,6,1038.68,1998,\N,내국인,ST-2745,ST-504,일반자전거
SPB-64474,2024-06-30 23:31:26,2175,신림동걷고싶은문화의거리입구,0,2024-06-30 23:33:37,02173,당곡사거리,0,2,0.0,2001,,내국인,ST-1270,ST-1268,일반자전거
SPB-49083,2024-06-30 23:19:06,1569,수유역2번출구,0,2024-06-30 23:33:37,04064,신창아파트 입구 앞,0,14,1880.0,1986,M,내국인,ST-2137,ST-2725,일반자전거
SPB-34555,2024-06-30 21:20:49,660,동의보감타워,0,2024-06-30 23:33:37,01308,안암로터리 버스정류장 앞,0,133,1399.02,1988,\N,내국인,ST-1632,ST-827,일반자전거
SPB-50803,2024-06-30 22:03:49,4019,상계주공10단지 버스정류소,0,2024-06-30 23:33:39,04019,상계주공10단지 버스정류소,0,89,20764.88,1982,F,내국인,ST-2710,ST-2710,일반자전거
SPB-66805,2024-06-30 23:05:26,583,청계천 생태교실 앞,0,2024-06-30 23:33:42,01388,돈암초교입구 버스정류장(한성대입구역 방면),0,28,5078.2,\N,M,내국인,ST-376,ST-2229,일반자전거
SPB-62930,2024-06-30 23:14:30,525,한양대병원사거리,0,2024-06-30 23:33:44,00583,청계천 생태교실 앞,0,19,3920.0,2001,M,내국인,ST-241,ST-376,일반자전거
SPB-68596,2024-06-30 22:51:46,670,삼육서울병원 버스정류장,0,2024-06-30 23:33:45,00680,꿈마루어린이도서관 앞,0,41,5708.5,2000,\N,내국인,ST-2270,ST-2280,일반자전거
SPB-34718,2024-06-30 23:14:46,3206,문래동 주민센터,0,2024-06-30 23:33:46,04175,대방역2번출구,0,19,2707.69,1901,M,내국인,ST-1977,ST-2803,일반자전거
SPB-55201,2024-06-30 23:24:28,3785,마곡14단지 1408동앞,0,2024-06-30 23:33:46,05061,우장산동 가곡어린이공원앞,0,9,1401.84,2000,F,내국인,ST-2832,ST-2888,일반자전거
SPB-65933,2024-06-30 22:31:05,5864,장훈고 앞,0,2024-06-30 23:33:46,00176,명지대학교 도서관,0,62,10919.45,2002,M,내국인,ST-3200,ST-555,일반자전거
SPB-40477,2024-06-30 22:37:08,735,영도초등학교,0,2024-06-30 23:33:47,00735,영도초등학교,0,56,5692.78,1970,M,내국인,ST-1006,ST-1006,일반자전거
SPB-69823,2024-06-30 23:29:15,4008,하계 어린이 공원,0,2024-06-30 23:33:48,01611,과기대 입구(우),0,4,70.0,\N,M,내국인,ST-2703,ST-604,일반자전거
SPB-69772,2024-06-30 22:28:08,2613,잠실나들목,0,2024-06-30 23:33:49,02613,잠실나들목,0,65,17359.71,1987,F,내국인,ST-1705,ST-1705,일반자전거
SPB-67259,2024-06-30 23:22:16,1667,중계중학교,0,2024-06-30 23:33:50,01685,불암고등학교 앞 횡단보도,0,11,1083.25,2003,\N,내국인,ST-1284,ST-1475,일반자전거
SPB-30357,2024-06-30 23:20:02,4217,한강공원 망원나들목,0,2024-06-30 23:33:51,00108,서교동 사거리,0,13,2200.59,1979,M,내국인,ST-2905,ST-10,일반자전거
SPB-33349,2024-06-30 23:25:26,2656,풍납동 아이파크 107동 앞,0,2024-06-30 23:33:52,04870,몽촌토성역 3번 출구,0,8,1191.91,1997,F,내국인,ST-1878,ST-2876,일반자전거
SPB-70117,2024-06-30 23:20:21,1248,방이초등학교,0,2024-06-30 23:33:52,02642,마천동 성내천 쉼터,0,13,3230.0,1992,\N,내국인,ST-908,ST-1794,일반자전거
SPB-62699,2024-06-30 22:13:37,133,해담는다리,0,2024-06-30 23:33:52,00914,새절역 2번출구,0,80,14910.0,1966,M,내국인,ST-35,ST-462,일반자전거
SPB-33794,2024-06-30 23:29:23,4008,하계 어린이 공원,0,2024-06-30 23:33:55,01611,과기대 입구(우),0,4,636.76,2000,M,내국인,ST-2703,ST-604,일반자전거
SPB-59122,2024-06-30 23:02:35,3008,DMC역7번출구,0,2024-06-30 23:33:55,03121,가좌삼거리,0,31,1963.85,1978,M,내국인,ST-2166,ST-2206,일반자전거
SPB-33232,2024-06-30 23:30:13,5871,건영상가 앞,0,2024-06-30 23:33:55,04558,대영중고 후문,0,3,492.41,2008,M,내국인,ST-3250,ST-2809,일반자전거
SPB-69044,2024-06-30 21:49:02,571,세종대학교 대양AI센터,0,2024-06-30 23:33:57,00571,세종대학교 대양AI센터,0,104,2556.5,1991,,내국인,ST-382,ST-382,일반자전거
SPB-44789,2024-06-30 23:25:05,4574,영등포시장역 포레나영등포,0,2024-06-30 23:33:58,05862,당산역11번출구,0,8,1332.14,2003,\N,내국인,ST-2822,ST-3187,일반자전거
SPB-30024,2024-06-30 23:02:13,3008,DMC역7번출구,0,2024-06-30 23:33:59,03121,가좌삼거리,0,31,2164.87,1977,F,내국인,ST-2166,ST-2206,일반자전거
SPB-50066,2024-06-30 22:32:56,220,미성아파트 A동 앞,0,2024-06-30 23:33:59,00207,여의나루역 1번출구 앞,0,61,2426.92,\N,\N,비회원,ST-63,ST-73,일반자전거
SPB-68191,2024-06-30 23:26:07,3544,한양대역 3번 출구,0,2024-06-30 23:34:00,00506,금호 어울림 아파트 앞,0,7,2680.0,1994,M,내국인,ST-2326,ST-103,일반자전거
SPB-50020,2024-06-30 23:21:26,3586,군자역 비채온 오피스텔,0,2024-06-30 23:34:00,03549,건영아파트 앞,0,12,920.0,1997,\N,내국인,ST-2325,ST-2331,일반자전거
SPB-51886,2024-06-30 23:22:15,3586,군자역 비채온 오피스텔,0,2024-06-30 23:34:01,03549,건영아파트 앞,0,11,972.34,1996,\N,내국인,ST-2325,ST-2331,일반자전거
SPB-67836,2024-06-30 23:27:36,5752,풍납백제문화공원 옆 인근,0,2024-06-30 23:34:01,01012,천호역효성해링턴타워 앞,0,6,850.0,1997,\N,내국인,ST-3070,ST-496,일반자전거
SPB-43852,2024-06-30 23:31:13,2503,반포1동 서초빌딩 앞,0,2024-06-30 23:34:02,02268,서초4동주민센터,0,2,287.62,1996,M,내국인,ST-1554,ST-1160,일반자전거
SPB-59393,2024-06-30 23:20:13,4029,청소년수련관 후문,0,2024-06-30 23:34:03,01685,불암고등학교 앞 횡단보도,0,13,2727.56,2004,,내국인,ST-2718,ST-1475,일반자전거
SPB-46309,2024-06-30 22:56:34,135,명물길 원형무대 앞,0,2024-06-30 23:34:03,00143,공덕역 2번출구,0,37,2800.0,1971,\N,내국인,ST-37,ST-201,일반자전거
SPB-65153,2024-06-30 22:01:38,2628,문정역 1번출구,0,2024-06-30 23:34:03,02615,테라타워2,0,92,17866.52,2091,F,내국인,ST-1855,ST-1707,일반자전거
SPB-34831,2024-06-30 23:18:53,927,연신내역 3번출구 인근,0,2024-06-30 23:34:04,00941,은평뉴타운 도서관,0,15,2627.34,2001,\N,내국인,ST-475,ST-1027,일반자전거
SPB-36628,2024-06-30 23:10:53,1669,중계역 3번출구,0,2024-06-30 23:34:04,01671,인덕대학교,0,23,2771.44,\N,M,내국인,ST-1286,ST-1288,일반자전거
SPB-37637,2024-06-30 22:42:13,529,장한평역 8번 출구 앞,0,2024-06-30 23:34:05,04425,하늘채코오롱아파트 앞,0,51,12905.39,\N,M,내국인,ST-243,ST-3264,일반자전거
SPB-44305,2024-06-30 23:28:47,5752,풍납백제문화공원 옆 인근,0,2024-06-30 23:34:06,01012,천호역효성해링턴타워 앞,0,5,836.72,1995,\N,내국인,ST-3070,ST-496,일반자전거
SPB-46473,2024-06-30 23:28:34,498,연남동주민센터 앞,0,2024-06-30 23:34:08,00113,홍대입구역 2번출구 앞,0,5,900.0,1984,M,내국인,ST-2157,ST-18,일반자전거
SPB-53011,2024-06-30 23:19:20,844,이촌2동 동원베네스트 아파트 앞,0,2024-06-30 23:34:08,00850,KCC용산월츠타워,0,14,2301.06,1994,\N,내국인,ST-1446,ST-2174,일반자전거
SPB-33362,2024-06-30 23:30:54,786,목동아파트 8단지 상가동 앞,0,2024-06-30 23:34:08,00716,신정6동 주민센터 인근,0,3,264.59,2001,\N,내국인,ST-2012,ST-428,일반자전거
SPB-38209,2024-06-30 23:04:26,568,청계8가 사거리 B,0,2024-06-30 23:34:09,04108,답십리파크자이아파트 앞,0,29,4025.17,1987,M,내국인,ST-369,ST-2501,일반자전거
SPB-50549,2024-06-30 22:26:25,4693,수색감리교회,0,2024-06-30 23:34:10,00194,증산교 앞,0,67,14050.03,1982,F,내국인,ST-3279,ST-350,일반자전거
SPB-42267,2024-06-30 23:23:35,438,성산2-1 공영주차장,0,2024-06-30 23:34:10,00103,망원역 2번출구 앞,0,10,1546.1,1968,M,내국인,ST-1692,ST-5,일반자전거
SPB-30145,2024-06-30 23:23:55,3758,서울남부출입국관리소,0,2024-06-30 23:34:10,02730,마곡메가박스 앞,0,10,1319.94,1979,\N,내국인,ST-2858,ST-2047,일반자전거
SPB-30848,2024-06-30 23:06:27,4217,한강공원 망원나들목,0,2024-06-30 23:34:13,00931,역촌파출소,0,27,6541.77,1997,\N,내국인,ST-2905,ST-479,일반자전거
SPB-33938,2024-06-30 23:31:35,1150,송정역 1번출구,0,2024-06-30 23:34:14,03774,마곡9단지 910동 상가앞,0,2,440.72,1977,F,내국인,ST-1062,ST-2789,일반자전거
SPB-56161,2024-06-30 23:24:33,1152,마곡역교차로,0,2024-06-30 23:34:15,03797,마곡수명산파크7단지 710동 앞,0,9,1350.0,2004,M,내국인,ST-1064,ST-2556,일반자전거
SPB-48216,2024-06-30 23:29:13,191,서우빌딩,0,2024-06-30 23:34:15,00165,중앙근린공원,0,5,580.0,2001,\N,내국인,ST-347,ST-222,일반자전거
SPB-70190,2024-06-30 23:01:18,1173,강서구청사거리(SH타워),0,2024-06-30 23:34:16,01182,KBS 스포츠월드,0,32,4677.44,2009,M,내국인,ST-1510,ST-1519,일반자전거
SPB-69163,2024-06-30 23:31:02,663,외대앞역 3번출구,0,2024-06-30 23:34:16,04117,휘경119안전센터 앞,0,3,560.33,1998,\N,내국인,ST-1671,ST-2506,일반자전거
SPB-52455,2024-06-30 23:33:46,183,하늘채코오롱아파트 건너편,0,2024-06-30 23:34:18,00183,하늘채코오롱아파트 건너편,0,0,0.0,2002,\N,내국인,ST-341,ST-341,일반자전거
SPB-48640,2024-06-30 23:30:32,247,당산역 10번출구 앞,0,2024-06-30 23:34:18,00244,영등포삼환아파트 앞,0,3,502.17,1991,M,내국인,ST-295,ST-293,일반자전거
SPB-69081,2024-06-30 22:09:53,1083,광문고교사거리(아이파크),0,2024-06-30 23:34:19,01083,광문고교사거리(아이파크),0,84,15240.0,1972,M,내국인,ST-1844,ST-1844,일반자전거
SPB-70404,2024-06-30 23:22:05,1691,노원정보도서관,0,2024-06-30 23:34:20,01636,상계주공2단지 버스정류장 옆,0,12,1600.0,1989,M,내국인,ST-1642,ST-610,일반자전거
SPB-38029,2024-06-30 22:09:57,1083,광문고교사거리(아이파크),0,2024-06-30 23:34:20,01083,광문고교사거리(아이파크),0,84,15822.78,1971,F,내국인,ST-1844,ST-1844,일반자전거
SPB-54292,2024-06-30 23:29:10,3671,둔촌동역교차로,0,2024-06-30 23:34:21,03671,둔촌동역교차로,0,5,511.16,2005,M,내국인,ST-2742,ST-2742,일반자전거
SPB-40364,2024-06-30 22:56:36,543,구의공원(테크노마트 앞),0,2024-06-30 23:34:21,00551,구의삼성쉐르빌 앞,0,37,7218.1,1997,\N,내국인,ST-255,ST-377,일반자전거
SPB-42752,2024-06-30 22:53:15,3002,벽산상암스마트큐브,0,2024-06-30 23:34:22,00186,월드컵공원,0,41,6458.96,1995,\N,내국인,ST-2160,ST-344,일반자전거
SPB-60402,2024-06-30 23:22:32,844,이촌2동 동원베네스트 아파트 앞,0,2024-06-30 23:34:22,00850,KCC용산월츠타워,0,11,1665.34,1996,\N,내국인,ST-1446,ST-2174,일반자전거
SPB-66547,2024-06-30 22:25:05,4693,수색감리교회,0,2024-06-30 23:34:22,00194,증산교 앞,0,69,13550.0,1982,F,내국인,ST-3279,ST-350,일반자전거
SPB-39622,2024-06-30 23:17:06,4952,천호시장 버스정류소 옆,0,2024-06-30 23:34:23,01009,천호역4번출구(현대백화점),0,17,1858.69,1997,\N,내국인,ST-3209,ST-493,일반자전거
SPB-59230,2024-06-30 23:23:27,4526,목동아파트2단지 222동 앞,0,2024-06-30 23:34:24,00700,KB국민은행 염창역 지점 앞,0,10,1840.0,2001,\N,내국인,ST-2773,ST-308,일반자전거
SPB-43341,2024-06-30 23:11:25,1120,대림경동아파트앞,0,2024-06-30 23:34:25,03796,송정역 3번출구 앞,0,23,4332.86,\N,M,내국인,ST-518,ST-2555,일반자전거
SPB-69457,2024-06-30 23:15:19,4693,수색감리교회,0,2024-06-30 23:34:26,00979,원풍빌라앞,0,19,3066.17,1995,F,내국인,ST-3279,ST-2247,일반자전거
SPB-52740,2024-06-30 23:27:39,252,보라매역4번출구,0,2024-06-30 23:34:26,04591,신길자이아파트,0,6,888.02,1984,M,내국인,ST-300,ST-2901,일반자전거
SPB-39575,2024-06-30 22:09:52,771,목동아파트 703동 앞,0,2024-06-30 23:34:27,00207,여의나루역 1번출구 앞,0,84,5445.74,2004,M,내국인,ST-1997,ST-73,일반자전거
SPB-44896,2024-06-30 23:27:25,395,경희궁 자이 2단지,0,2024-06-30 23:34:27,00308,광화문 S타워 앞,0,7,930.62,1990,M,내국인,ST-1374,ST-124,일반자전거
SPB-82672,2024-06-30 22:53:55,1231,잠실역 6번출구,99,2024-06-30 23:34:28,02604,풍납토성 서성벽터A,99,41,3555.13,2010,F,내국인,ST-840,ST-1627,새싹자전거
SPB-58925,2024-06-30 22:22:08,585,성수2가1동 공영주차장 인근,0,2024-06-30 23:34:28,00585,성수2가1동 공영주차장 인근,0,72,10600.0,1995,M,내국인,ST-446,ST-446,일반자전거
SPB-41673,2024-06-30 23:27:58,1251,석촌역 2번출구,0,2024-06-30 23:34:29,05768,방이삼거리,0,6,1018.67,1997,M,내국인,ST-1070,ST-3214,일반자전거
SPB-63900,2024-06-30 22:13:39,4217,한강공원 망원나들목,0,2024-06-30 23:34:29,00103,망원역 2번출구 앞,0,80,3345.14,2002,F,내국인,ST-2905,ST-5,일반자전거
SPB-42633,2024-06-30 23:06:58,207,여의나루역 1번출구 앞,0,2024-06-30 23:34:30,02003,사육신공원앞,0,27,3664.05,1992,\N,내국인,ST-73,ST-877,일반자전거
SPB-68533,2024-06-30 23:30:43,3763,등촌태영아파트,0,2024-06-30 23:34:30,03763,등촌태영아파트,0,3,670.0,1967,M,내국인,ST-2479,ST-2479,일반자전거
SPB-41504,2024-06-30 23:30:00,1625,상계역 3번출구,0,2024-06-30 23:34:32,04028,한일유앤아이아파트 105동 인근,0,4,785.83,1991,M,내국인,ST-914,ST-2717,일반자전거
SPB-42713,2024-06-30 22:45:25,657,동대문롯데캐슬아파트 앞,0,2024-06-30 23:34:32,04108,답십리파크자이아파트 앞,0,49,1589.6,2008,M,내국인,ST-1629,ST-2501,일반자전거
SPB-70123,2024-06-30 23:32:15,1231,잠실역 6번출구,0,2024-06-30 23:34:32,01231,잠실역 6번출구,0,2,0.0,1998,\N,내국인,ST-840,ST-840,일반자전거
